"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00194600087814546,0.000416905921968198,4.6677218422767,1.17324578811347e-05
"log.precip",-0.00018405237900835,6.19785308158306e-05,-2.96961506808321,0.00390943159031545
"log.age",5.60154456358918e-05,2.30994299521357e-05,2.42497090845797,0.0175064707157233
"log.meandepth",4.81338115233227e-05,1.93846101745042e-05,2.48309411899504,0.0150634596262817
"log.DIP",-5.04389828450564e-05,2.53217036832995e-05,-1.99192690491527,0.0497073050969735
"BorealV",-0.000225803554636483,6.7318281801428e-05,-3.35426794317993,0.00120680871916657
